Starting price: $10.00
On Day 1$9.56
On Day 2$10.21
On Day 3$10.32
On Day 4$11.26
On Day 5$10.83
On Day 6$11.10
On Day 7$11.52
On Day 8$11.06
On Day 9$10.93
On Day 10$10.86
On Day 11$11.03
On Day 12$10.49
On Day 13$10.05
On Day 14$10.67
On Day 15$10.69
On Day 16$10.33
On Day 17$10.44
On Day 18$11.31
On Day 19$12.31
On Day 20$13.44
On Day 21$14.72
On Day 22$15.62
On Day 23$16.21
On Day 24$15.55
On Day 25$16.04
On Day 26$17.56
On Day 27$18.97
On Day 28$18.16
On Day 29$19.51
On Day 30$19.21
On Day 31$19.88
On Day 32$19.12
On Day 33$20.34
On Day 34$20.11
On Day 35$19.67
On Day 36$18.99
On Day 37$19.16
On Day 38$18.88
On Day 39$18.70
On Day 40$19.29
On Day 41$21.06
On Day 42$20.13
On Day 43$20.08
On Day 44$19.99
On Day 45$19.58
On Day 46$19.40
On Day 47$20.53
On Day 48$22.17
On Day 49$21.58
On Day 50$21.33
On Day 51$20.54
On Day 52$19.52
On Day 53$20.32
On Day 54$20.16
On Day 55$21.51
On Day 56$21.41
On Day 57$21.17
On Day 58$22.15
On Day 59$22.42
On Day 60$21.82
On Day 61$21.38
On Day 62$23.00
On Day 63$24.74
On Day 64$26.46
On Day 65$28.74
On Day 66$30.01
On Day 67$28.75
On Day 68$27.39
On Day 69$28.52
On Day 70$30.03
On Day 71$29.86
On Day 72$31.56
On Day 73$32.17
On Day 74$33.89
On Day 75$34.21
On Day 76$33.84
On Day 77$33.02
On Day 78$34.11
On Day 79$34.03
On Day 80$32.38
On Day 81$35.21
On Day 82$38.59
On Day 83$37.36
On Day 84$39.26
On Day 85$39.55
On Day 86$38.90
On Day 87$38.39
On Day 88$39.86
On Day 89$43.54
On Day 90$42.10
On Day 91$41.15
On Day 92$39.35
On Day 93$41.16
On Day 94$42.20
On Day 95$41.70
On Day 96$42.23
On Day 97$40.65
On Day 98$40.49
On Day 99$44.00
On Day 100$43.93
On Day 101$43.31
On Day 102$41.29
On Day 103$43.01
On Day 104$44.41
On Day 105$42.80
On Day 106$45.94
On Day 107$47.21
On Day 108$47.06
On Day 109$44.88
On Day 110$46.23
On Day 111$46.22
On Day 112$49.91
On Day 113$48.32
On Day 114$46.18
On Day 115$47.27
On Day 116$45.83
On Day 117$47.82
On Day 118$50.50
On Day 119$55.20
On Day 120$53.82
On Day 121$58.70
On Day 122$60.78
On Day 123$61.22
On Day 124$62.47
On Day 125$59.87
On Day 126$62.05
On Day 127$66.46
On Day 128$64.62
On Day 129$61.96
On Day 130$66.16
On Day 131$62.87
On Day 132$67.49
On Day 133$66.09
On Day 134$70.00
On Day 135$73.32
On Day 136$73.28
On Day 137$78.30
On Day 138$81.55
On Day 139$77.87
On Day 140$79.86
On Day 141$85.38
On Day 142$91.87
On Day 143$101.02
On Day 144$104.38
On Day 145$101.40
On Day 146$102.61
On Day 147$105.92
On Day 148$107.21
On Day 149$103.55
On Day 150$111.71
On Day 151$112.77
On Day 152$109.70
On Day 153$108.26
On Day 154$113.99
On Day 155$114.91
On Day 156$122.84
On Day 157$122.41
On Day 158$121.05
On Day 159$118.07
On Day 160$124.51
On Day 161$119.16
On Day 162$113.87
On Day 163$113.14
On Day 164$109.56
On Day 165$104.68
On Day 166$100.52
On Day 167$104.86
On Day 168$108.61
On Day 169$107.05
On Day 170$114.34
On Day 171$109.62
On Day 172$106.98
On Day 173$113.81
